Grupo;Departamento;División;Género;Salario base;Pago de tiempo extra;Grado de estudio
ABS;Alcohol Beverage Services;ABS 85 Administration;M;175873;0;M2
ABS;Alcohol Beverage Services;ABS 85 Administration;M;145613.36;0;M3
ABS;Alcohol Beverage Services;ABS 85 Administration;;136970;0;M3
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;F;89.432.694;0;21
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;F;78947;456.68;16
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;F;98228;518.8;21
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;F;824.053.864;549.2;18
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;M;93986;1187.06;N20
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;F;149464.15;0;18
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;M;117424;0;N25
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;F;82808.28;11870.82;21
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;M;;2092.7;13
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;M;;1013.01;13
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;M;139407.15;0;M3
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;F;128531;0;N27
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;M;152632.07;0;M3
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;F;739.552.951;3509.43;16
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;M;117424;0;N25
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;M;117424;0;N25
ABS;Alcohol Beverage Services;ABS 85 Administrative Services;F;110.572.155;0;N26
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;61240;5294.68;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;61240;92.35;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;86103;23917.44;N18
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;61240;9580.78;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;86103;3165.46;N18
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;750.864.937;6857.37;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;819.312.453;24672.86;N18
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;75621;2065.26;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;75.621.002;4453.91;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;75621;10989.68;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;75621;6505.89;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;590.472.324;7762.45;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;75621;11987.31;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;61240;7037.7;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;723.610.418;8085.91;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;689.443.944;4539.49;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;75621;1662.14;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;592.888.374;1654.62;15
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;449.063.502;3194.01;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;564.929.983;689.42;10
ABS;Alcohol Beverage Services;ABS 85 Beer Delivery Operations;M;65.434.165;2033.02;15
